date,price,open,prob_ma5,prob_ma20,prob_combined,position_ratio,shares,cash,portfolio,total_fees,action_note
2026-01-05,39.495218959732,38.086815855705,0.9873630035636763,0.9999999999999707,0.9924178021381942,0.9891682887688489,200,2095.9562080535998,9995.0,5.0,
2026-01-06,39.924731963087,39.495218959732,0.9899381318289235,0.9999999999999931,0.9939628790973514,0.9913755415676448,200,2095.9562080535998,10080.902600671,5.0,
2026-01-07,40.03460738255,40.593973154362,0.9912378581817042,0.9999999999999949,0.9947427149090204,0.9924895927271721,200,2095.9562080535998,10102.877684563598,5.0,
2026-01-08,39.954697986577,39.645049077181,0.9924838843817877,0.9999999999999793,0.9954903306290643,0.9935576151843776,200,2095.9562080535998,10086.895805369,5.0,
2026-01-09,41.782625419463,40.174448825503,0.9968302403772186,0.9999999999999947,0.998098144226329,0.99728306318047,200,2095.9562080535998,10452.4812919462,5.0,
2026-01-12,42.212138422819,41.85254614094,0.9935509424092609,0.9999999999999918,0.9961305654455532,0.9944722363507903,200,2095.9562080535998,10538.3838926174,5.0,
2026-01-13,40.27433557047,42.152206375839,0.9912037707471426,0.9999999999999643,0.9947222624482712,0.9924603749261017,200,2095.9562080535998,10150.8233221476,5.0,
2026-01-14,40.873656040268,41.053452181208,0.9910631853132839,0.9999999999999294,0.994637911187942,0.9923398731256314,200,2095.9562080535998,10270.687416107201,5.0,
2026-01-15,42.551753355705,40.464120385906,0.9915321297722954,0.9999999999999083,0.9949192778633407,0.9927418255190581,200,2095.9562080535998,10606.3068791946,5.0,
2026-01-16,46.806928691275,43.400790687919,0.958616173311647,0.9999999999999949,0.9751697039869862,0.9645281485528374,200,2095.9562080535998,11457.3419463086,5.0,
2026-01-20,50.952228607383,47.645977348993,0.8713033630126137,0.9999999999999953,0.9227820178075663,0.8896885968679519,200,2095.9562080535998,12286.401929530199,5.0,
2026-01-21,56.046452600671,50.942239932886,0.5636502607598448,0.9999999999999998,0.7381901564559068,0.6259859377941527,100,7695.6014681207,13300.2467281878,10.0,
