date,open,high,low,close,volume,adj_close
2021-06-21,39.95000076293945,39.95000076293945,38.27000045776367,37.911354064941406,7039320,
2021-06-22,38.709999084472656,39.209999084472656,37.02999877929688,36.99557876586914,8072669,
2021-06-23,37.2599983215332,38.630001068115234,37.18999862670898,37.88182067871094,6827264,
2021-06-24,38.59999847412109,38.59999847412109,37.290000915527344,37.084205627441406,5063860,
2021-06-25,37.79999923706055,37.970001220703125,36.65999984741211,36.4244499206543,5736041,
2021-06-28,37.0099983215332,38.5,36.630001068115234,37.763648986816406,7708373,
2021-06-29,38.54999923706055,38.7400016784668,38.0099983215332,37.77349853515625,4622474,
2021-06-30,38.47999954223633,38.52000045776367,37.7599983215332,37.93105316162109,5515389,
2021-07-01,38.4900016784668,38.4900016784668,36.90999984741211,36.38505554199219,5476846,
2021-07-02,36.900001525878906,37.459999084472656,35.7599983215332,35.548057556152344,6091631,
2021-07-05,36.09999847412109,36.58000183105469,35.52000045776367,35.666221618652344,4426225,
2021-07-06,36.150001525878906,36.79999923706055,35.599998474121094,35.6268310546875,4414791,
2021-07-07,36.040000915527344,36.79999923706055,35.70000076293945,36.1290283203125,4061968,
2021-07-08,36.75,36.75,35.709999084472656,35.410194396972656,5141276,
2021-07-09,36.27999877929688,38.02000045776367,36.25,35.78438186645508,8214609,
2021-07-12,36.040000915527344,39.880001068115234,36.040000915527344,38.29539489746094,15575217,
2021-07-13,39.09999847412109,39.20000076293945,37.630001068115234,37.57656097412109,7830439,
2021-07-14,38.18000030517578,38.79999923706055,37.59999847412109,37.05466079711914,6603295,
2021-07-15,37.060001373291016,37.11000061035156,33.20000076293945,33.361995697021484,18948266,
2021-07-16,33.790000915527344,34.099998474121094,32.68000030517578,32.20988464355469,10473460,
2021-07-19,32.68000030517578,33.54999923706055,32.0,32.8105583190918,10868115,
2021-07-20,33.029998779296875,34.189998626708984,32.86000061035156,33.371849060058594,6944987,
2021-07-21,33.650001525878906,34.09000015258789,33.310001373291016,33.48016357421875,5399275,
2021-07-22,33.97999954223633,34.95000076293945,33.61000061035156,34.17930603027344,6955204,
2021-07-23,35.13999938964844,35.25,34.150001525878906,33.90359115600586,5263136,
2021-07-26,34.27000045776367,34.70000076293945,33.04999923706055,33.10596466064453,5733653,
2021-07-27,33.84000015258789,39.880001068115234,33.529998779296875,37.58639907836914,23652733,
2021-07-28,37.900001525878906,39.5,37.0099983215332,38.462799072265625,22276380,
2021-07-29,39.79999923706055,41.08000183105469,38.5,40.23527526855469,24524406,
2021-07-30,40.290000915527344,43.970001220703125,40.040000915527344,42.0176010131836,27448936,
2021-08-02,43.29999923706055,45.380001068115234,42.79999923706055,43.327266693115234,21326406,
2021-08-03,43.70000076293945,44.59999847412109,42.27000045776367,41.732032775878906,20238689,
2021-08-04,42.400001525878906,43.22999954223633,41.869998931884766,42.0176010131836,12904046,
2021-08-05,42.75,42.75,41.27000045776367,41.37754440307617,10179701,
2021-08-06,41.900001525878906,42.83000183105469,41.02000045776367,41.10182189941406,11091623,
2021-08-09,41.459999084472656,43.34000015258789,41.29999923706055,41.36769485473633,11258571,
2021-08-10,42.27999877929688,42.27999877929688,41.20000076293945,41.42677307128906,10251981,
2021-08-11,41.93000030517578,42.72999954223633,41.459999084472656,40.92457580566406,9100825,
2021-08-12,41.08000183105469,42.560001373291016,40.02999877929688,41.06243515014648,9692253,
2021-08-13,41.709999084472656,41.869998931884766,40.29999923706055,39.82169723510742,11094498,
2021-08-16,40.5,42.09999847412109,40.08000183105469,40.17619323730469,9192129,
2021-08-17,41.380001068115234,41.380001068115234,39.15999984741211,38.87636947631836,7916294,
2021-08-18,39.18999862670898,39.79999923706055,37.77000045776367,37.47809219360352,9232297,
2021-08-19,38.22999954223633,39.13999938964844,38.18000030517578,37.960594177246094,5376037,
2021-08-20,38.63999938964844,38.88999938964844,36.95000076293945,37.07435607910156,7592566,
2021-08-23,37.5,38.22999954223633,37.38999938964844,37.20236587524414,6282595,
2021-08-24,38.0,38.31999969482422,36.650001525878906,37.53717041015625,8423867,
2021-08-25,38.0099983215332,38.52000045776367,37.310001373291016,36.81832885742188,7637596,
2021-08-26,37.09999847412109,37.68999862670898,36.70000076293945,36.31613159179688,7687797,
2021-08-27,36.61000061035156,36.61000061035156,35.7599983215332,35.6563720703125,6839668,
2021-08-30,36.66999816894531,37.09999847412109,36.13999938964844,35.70560836791992,6133539,
2021-08-31,35.70000076293945,36.470001220703125,34.9900016784668,34.87844467163086,5464438,
2021-09-01,35.22999954223633,36.58000183105469,34.5,35.13447952270508,5778375,
2021-09-02,35.40999984741211,36.22999954223633,35.099998474121094,35.154170989990234,4070089,
2021-09-03,35.779998779296875,37.88999938964844,35.66999816894531,36.46383666992188,6771458,
2021-09-06,37.040000915527344,37.7400016784668,36.61000061035156,36.35551071166992,6129863,
2021-09-07,36.72999954223633,36.91999816894531,35.58000183105469,35.45942687988281,7145281,
2021-09-08,35.9900016784668,36.84999847412109,35.72999954223633,36.11919021606445,8001507,
2021-09-09,36.650001525878906,36.650001525878906,35.130001068115234,34.93753433227539,7227256,
2021-09-10,35.45000076293945,35.709999084472656,34.5,35.06554412841797,6648992,
2021-09-13,35.369998931884766,35.5099983215332,34.09000015258789,33.69680404663086,6351917,
2021-09-14,34.220001220703125,34.68000030517578,34.119998931884766,33.795265197753906,4112857,
2021-09-15,34.5,34.939998626708984,33.790000915527344,34.28762435913086,3861734,
2021-09-16,34.869998931884766,35.400001525878906,34.29999923706055,33.795265197753906,4265350,
2021-09-17,34.209999084472656,34.90999984741211,33.81999969482422,34.169464111328125,3050881,
2021-09-22,34.380001068115234,35.25,34.06999969482422,34.169464111328125,2304695,
2021-09-23,35.0,35.380001068115234,34.20000076293945,33.69680404663086,4994846,
2021-09-24,34.40999984741211,34.959999084472656,34.08000183105469,34.12022399902344,3624076,
2021-09-27,35.68000030517578,36.59999847412109,34.90999984741211,34.79967498779297,8708389,
2021-09-28,35.11000061035156,35.16999816894531,34.13999938964844,33.63771438598633,4449784,
2021-09-29,33.900001525878906,34.9900016784668,33.47999954223633,34.376251220703125,5481558,
2021-09-30,34.90999984741211,35.599998474121094,34.619998931884766,34.34670639038086,3712521,
2021-10-08,35.099998474121094,35.5,34.400001525878906,34.52396011352539,4492700,
2021-10-11,35.0,35.9900016784668,34.61000061035156,35.05569839477539,6249741,
2021-10-12,35.31999969482422,35.56999969482422,34.66999816894531,34.248233795166016,5185394,
2021-10-13,34.88999938964844,35.290000915527344,34.29999923706055,34.57319259643555,3369010,
2021-10-14,35.0099983215332,35.400001525878906,34.79999923706055,34.33686065673828,2801140,
2021-10-15,34.83000183105469,35.189998626708984,34.189998626708984,33.70664596557617,4372087,
2021-10-18,34.2400016784668,34.25,32.79999923706055,32.524993896484375,5614179,
2021-10-19,33.18000030517578,33.560001373291016,32.91999816894531,32.90903091430664,3534840,
2021-10-20,33.75,34.119998931884766,33.36000061035156,33.01734924316406,3122620,
2021-10-21,33.68000030517578,33.689998626708984,33.16999816894531,32.71208953857422,3667247,
2021-10-22,33.27000045776367,33.619998931884766,32.779998779296875,32.31820297241211,4290888,
2021-10-25,33.58000183105469,33.880001068115234,32.970001220703125,32.702239990234375,6602013,
2021-10-26,32.90999984741211,34.880001068115234,32.90999984741211,33.78542709350586,10378009,
2021-10-27,33.09000015258789,33.720001220703125,33.06999969482422,32.82040786743164,6008282,
2021-10-28,33.279998779296875,33.709999084472656,32.79999923706055,32.308353424072266,5675646,
2021-10-29,32.599998474121094,33.45000076293945,32.18000030517578,32.56438446044922,6707279,
2021-11-01,33.220001220703125,34.45000076293945,33.18000030517578,33.302913665771484,6920987,
2021-11-02,33.900001525878906,35.22999954223633,33.61000061035156,34.28762435913086,9920396,
2021-11-03,34.849998474121094,35.150001525878906,34.349998474121094,34.317161560058594,5605311,
2021-11-04,34.70000076293945,36.0,34.5,34.55349349975586,7143330,
2021-11-05,35.20000076293945,35.9900016784668,34.79999923706055,34.39594268798828,5722297,
2021-11-08,35.25,35.65999984741211,34.470001220703125,34.3860969543457,4628963,
2021-11-09,34.779998779296875,35.189998626708984,34.5,34.3565559387207,4673562,
2021-11-10,34.900001525878906,35.04999923706055,34.31999969482422,34.26792907714844,5480322,
2021-11-11,34.70000076293945,35.869998931884766,34.540000915527344,34.81937026977539,5784165,
2021-11-12,35.400001525878906,35.75,35.20000076293945,34.87844467163086,3739529,
2021-11-15,35.689998626708984,36.16999816894531,34.689998626708984,34.218692779541016,6568851,
2021-11-16,34.79999923706055,35.04999923706055,33.720001220703125,33.25368118286133,6960910,
2021-11-17,33.9900016784668,34.290000915527344,33.22999954223633,33.62786865234375,6234664,
2021-11-18,34.5099983215332,34.54999923706055,33.290000915527344,32.84009552001953,7661794,
2021-11-19,33.099998474121094,33.869998931884766,33.08000183105469,33.28322219848633,5317667,
2021-11-22,33.75,39.15999984741211,33.560001373291016,37.33038330078125,28417582,
2021-11-23,38.33000183105469,39.86000061035156,38.29999923706055,38.29539489746094,20564342,
2021-11-24,39.09999847412109,40.869998931884766,38.40999984741211,39.388427734375,20998556,
2021-11-25,40.79999923706055,40.970001220703125,39.0099983215332,38.56127166748047,13895311,
2021-11-26,38.9900016784668,39.75,37.77000045776367,37.615943908691406,12056490,
2021-11-29,37.630001068115234,38.11000061035156,37.400001525878906,37.350074768066406,9649472,
2021-11-30,37.88999938964844,38.5,37.38999938964844,37.556861877441406,12392514,
2021-12-01,37.869998931884766,39.61000061035156,37.59999847412109,38.65973663330078,12981368,
2021-12-02,38.84999847412109,39.47999954223633,38.560001373291016,38.12800216674805,9625525,
2021-12-03,38.52000045776367,39.400001525878906,37.970001220703125,38.54157638549805,8868856,
2021-12-06,38.70000076293945,38.95000076293945,37.54999923706055,37.22206497192383,7639289,
2021-12-07,38.04999923706055,38.13999938964844,36.88999938964844,36.62138366699219,6107132,
2021-12-08,37.18999862670898,39.40999984741211,37.02999877929688,38.6794319152832,12623837,
2021-12-09,38.88999938964844,39.34999847412109,38.0,37.556861877441406,9385315,
2021-12-10,37.79999923706055,39.20000076293945,37.65999984741211,38.10829925537109,10250397,
2021-12-13,38.5,40.25,38.41999816894531,38.994537353515625,12687732,
2021-12-14,39.459999084472656,40.959999084472656,39.29999923706055,40.22542953491211,12144142,
2021-12-15,40.5,42.09999847412109,40.310001373291016,40.6882438659668,14821113,
2021-12-16,41.40999984741211,41.40999984741211,39.93000030517578,40.12696075439453,7119815,
2021-12-17,40.72999954223633,41.150001525878906,39.84999847412109,39.76261901855469,6729243,
2021-12-20,40.0,40.459999084472656,39.20000076293945,39.78230667114258,6800219,
2021-12-21,40.18999862670898,42.4900016784668,40.150001525878906,41.64341735839844,12951300,
2021-12-22,42.27999877929688,42.66999816894531,41.61000061035156,41.85020065307617,8033462,
2021-12-23,42.72999954223633,43.18000030517578,41.95000076293945,41.50555419921875,8412086,
2021-12-24,42.150001525878906,42.52999877929688,41.150001525878906,40.75717926025391,5514475,
2021-12-27,41.5,43.119998931884766,41.11000061035156,41.57448196411133,8911834,
2021-12-28,42.34000015258789,43.869998931884766,42.02000045776367,41.85020065307617,9539610,
2021-12-29,42.04999923706055,43.54999923706055,41.900001525878906,42.342559814453125,11148284,
2021-12-30,42.959999084472656,43.79999923706055,42.630001068115234,42.72659683227539,9354791,
2021-12-31,43.45000076293945,43.5,42.29999923706055,41.85020065307617,7035897,
2022-01-04,42.880001068115234,43.0,41.220001220703125,41.30861282348633,7525957,
2022-01-05,41.79999923706055,42.59999847412109,41.45000076293945,41.25938034057617,5180446,
2022-01-06,41.54999923706055,43.119998931884766,41.130001068115234,40.81625747680664,7021262,
2022-01-07,41.41999816894531,42.880001068115234,41.40999984741211,41.682804107666016,8396388,
2022-01-10,42.0,43.959999084472656,41.52000045776367,42.6773567199707,9024449,
2022-01-11,43.29999923706055,43.5,42.5,42.24408721923828,5837435,
2022-01-12,43.040000915527344,43.369998931884766,38.36000061035156,39.78230667114258,16837514,
2022-01-13,40.27000045776367,40.58000183105469,38.290000915527344,38.12800216674805,10625192,
2022-01-14,38.59000015258789,39.59999847412109,38.470001220703125,38.47264862060547,5783728,
2022-01-17,39.09999847412109,41.38999938964844,39.09999847412109,39.53613662719727,11159577,
2022-01-18,40.45000076293945,41.4900016784668,39.34000015258789,38.96499633789063,6667936,
2022-01-19,39.5099983215332,40.20000076293945,38.90999984741211,38.72867584228516,5538965,
2022-01-20,39.20000076293945,39.650001525878906,38.20000076293945,37.92120742797852,5114931,
2022-01-21,38.380001068115234,38.83000183105469,37.79999923706055,37.901512145996094,4015305,
2022-01-24,37.90999984741211,39.18000030517578,37.90999984741211,38.32493591308594,5657044,
2022-01-25,38.93000030517578,38.93000030517578,37.54999923706055,37.16297912597656,4206836,
2022-01-26,37.58000183105469,37.93999862670898,36.58000183105469,36.247196197509766,6069879,
2022-01-27,36.68000030517578,36.900001525878906,35.349998474121094,35.03600311279297,9394032,
2022-01-28,36.06999969482422,36.97999954223633,35.529998779296875,35.25263977050781,5515038,
2022-02-07,36.72999954223633,37.09999847412109,35.459999084472656,35.301876068115234,4755243,
2022-02-08,35.849998474121094,36.369998931884766,35.59000015258789,35.498817443847656,4018484,
2022-02-09,36.18000030517578,37.400001525878906,35.79999923706055,36.37520599365234,6582089,
2022-02-10,36.9900016784668,37.369998931884766,36.09999847412109,36.07979583740234,6602513,
2022-02-11,36.459999084472656,36.59999847412109,34.34000015258789,34.20884704589844,9835512,
2022-02-14,34.33000183105469,34.84000015258789,33.939998626708984,34.307315826416016,4166639,
2022-02-15,34.540000915527344,35.68000030517578,34.5,35.04585266113281,4409006,
2022-02-16,35.689998626708984,35.939998626708984,35.29999923706055,34.95722961425781,3424100,
2022-02-17,35.20000076293945,35.83000183105469,34.90999984741211,35.05569839477539,4415294,
2022-02-18,36.93999862670898,37.77999877929688,35.880001068115234,36.78879165649414,13027006,
2022-02-21,38.22999954223633,39.400001525878906,37.86000061035156,38.09845352172852,12432683,
2022-02-22,37.65999984741211,38.400001525878906,37.119998931884766,36.79863739013672,7452905,
2022-02-23,37.36000061035156,38.33000183105469,37.29999923706055,37.261451721191406,5873769,
2022-02-24,37.79999923706055,38.29999923706055,36.36000061035156,36.44414138793945,7313763,
2022-02-25,37.09999847412109,37.93999862670898,37.0,36.50322341918945,5845229,
2022-02-28,36.810001373291016,38.900001525878906,36.34999847412109,37.86212539672852,10806620,
2022-03-01,38.5,38.959999084472656,37.72999954223633,37.724266052246094,6101164,
2022-03-02,37.880001068115234,38.58000183105469,37.59999847412109,37.81288909912109,4498674,
2022-03-03,38.5,38.70000076293945,37.56999969482422,37.12359619140625,3245927,
2022-03-04,37.209999084472656,38.4900016784668,37.18000030517578,37.07435607910156,3572487,
2022-03-07,37.540000915527344,37.540000915527344,34.70000076293945,34.57319259643555,10112385,
2022-03-08,35.04999923706055,35.81999969482422,34.599998474121094,34.32701110839844,7792360,
2022-03-09,35.119998931884766,36.2599983215332,34.08000183105469,34.95722961425781,9854070,
2022-03-10,36.33000183105469,36.97999954223633,35.33000183105469,34.81937026977539,7130965,
2022-03-11,35.0,35.400001525878906,34.150001525878906,34.848915100097656,4519559,
